TITLE="EPhi"
VARIABLES="x", "y", "EPhi"
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00196125 0 -589.748
0.0039225 0 -809.54
0.00588375 0 -922.649
0.007845 0 -1003.36
0.00980625 0 -1077.44
0.0117675 0 -1119.08
0.0137288 0 -1106.42
0.01569 0 -1042.54
0.0176513 0 -928.218
0.0196125 0 -750.468
0.0215738 0 -503.521
0.023535 0 -208.318
0.0254963 0 0
0 0 0
0.00196095 3.42285e-05 -605.491
0.0039219 6.84571e-05 -826.017
0.00588286 0.000102686 -940.048
0.00784381 0.000136914 -1020.16
0.00980476 0.000171143 -1091.42
0.0117657 0.000205371 -1128.15
0.0137267 0.0002396 -1109.36
0.0156876 0.000273828 -1039.66
0.0176486 0.000308057 -921.365
0.0196095 0.000342285 -742.372
0.0215705 0.000376514 -496.939
0.0235314 0.000410743 -205.316
0.0254924 0.000444971 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00196095 3.42285e-05 -605.491
0.0039219 6.84571e-05 -826.017
0.00588286 0.000102686 -940.048
0.00784381 0.000136914 -1020.16
0.00980476 0.000171143 -1091.42
0.0117657 0.000205371 -1128.15
0.0137267 0.0002396 -1109.36
0.0156876 0.000273828 -1039.66
0.0176486 0.000308057 -921.365
0.0196095 0.000342285 -742.372
0.0215705 0.000376514 -496.939
0.0235314 0.000410743 -205.316
0.0254924 0.000444971 0
0 0 0
0.00196006 6.84467e-05 -621.235
0.00392011 0.000136893 -842.493
0.00588017 0.00020534 -957.447
0.00784022 0.000273787 -1036.96
0.00980028 0.000342233 -1105.41
0.0117603 0.00041068 -1137.22
0.0137204 0.000479127 -1112.3
0.0156804 0.000547573 -1036.78
0.0176405 0.00061602 -914.511
0.0196006 0.000684467 -734.277
0.0215606 0.000752913 -490.356
0.0235207 0.00082136 -202.314
0.0254807 0.000889807 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00196006 6.84467e-05 -621.235
0.00392011 0.000136893 -842.493
0.00588017 0.00020534 -957.447
0.00784022 0.000273787 -1036.96
0.00980028 0.000342233 -1105.41
0.0117603 0.00041068 -1137.22
0.0137204 0.000479127 -1112.3
0.0156804 0.000547573 -1036.78
0.0176405 0.00061602 -914.511
0.0196006 0.000684467 -734.277
0.0215606 0.000752913 -490.356
0.0235207 0.00082136 -202.314
0.0254807 0.000889807 0
0 0 0
0.00195856 0.000102644 -636.978
0.00391713 0.000205288 -858.97
0.00587569 0.000307932 -974.846
0.00783425 0.000410576 -1053.76
0.00979281 0.00051322 -1119.39
0.0117514 0.000615864 -1146.29
0.0137099 0.000718507 -1115.25
0.0156685 0.000821151 -1033.9
0.0176271 0.000923795 -907.658
0.0195856 0.00102644 -726.181
0.0215442 0.00112908 -483.774
0.0235028 0.00123173 -199.312
0.0254613 0.00133437 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00195856 0.000102644 -636.978
0.00391713 0.000205288 -858.97
0.00587569 0.000307932 -974.846
0.00783425 0.000410576 -1053.76
0.00979281 0.00051322 -1119.39
0.0117514 0.000615864 -1146.29
0.0137099 0.000718507 -1115.25
0.0156685 0.000821151 -1033.9
0.0176271 0.000923795 -907.658
0.0195856 0.00102644 -726.181
0.0215442 0.00112908 -483.774
0.0235028 0.00123173 -199.312
0.0254613 0.00133437 0
0 0 0
0.00195647 0.00013681 -652.721
0.00391295 0.00027362 -875.446
0.00586942 0.00041043 -992.245
0.00782589 0.00054724 -1070.56
0.00978237 0.00068405 -1133.37
0.0117388 0.00082086 -1155.36
0.0136953 0.000957669 -1118.19
0.0156518 0.00109448 -1031.02
0.0176083 0.00123129 -900.805
0.0195647 0.0013681 -718.086
0.0215212 0.00150491 -477.191
0.0234777 0.00164172 -196.31
0.0254342 0.00177853 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00195647 0.00013681 -652.721
0.00391295 0.00027362 -875.446
0.00586942 0.00041043 -992.245
0.00782589 0.00054724 -1070.56
0.00978237 0.00068405 -1133.37
0.0117388 0.00082086 -1155.36
0.0136953 0.000957669 -1118.19
0.0156518 0.00109448 -1031.02
0.0176083 0.00123129 -900.805
0.0195647 0.0013681 -718.086
0.0215212 0.00150491 -477.191
0.0234777 0.00164172 -196.31
0.0254342 0.00177853 0
0 0 0
0.00195379 0.000170934 -668.465
0.00390757 0.000341869 -891.923
0.00586136 0.000512803 -1009.64
0.00781515 0.000683737 -1087.35
0.00976894 0.000854671 -1147.36
0.0117227 0.00102561 -1164.42
0.0136765 0.00119654 -1121.13
0.0156303 0.00136747 -1028.14
0.0175841 0.00153841 -893.951
0.0195379 0.00170934 -709.99
0.0214917 0.00188028 -470.609
0.0234454 0.00205121 -193.308
0.0253992 0.00222215 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00195379 0.000170934 -668.465
0.00390757 0.000341869 -891.923
0.00586136 0.000512803 -1009.64
0.00781515 0.000683737 -1087.35
0.00976894 0.000854671 -1147.36
0.0117227 0.00102561 -1164.42
0.0136765 0.00119654 -1121.13
0.0156303 0.00136747 -1028.14
0.0175841 0.00153841 -893.951
0.0195379 0.00170934 -709.99
0.0214917 0.00188028 -470.609
0.0234454 0.00205121 -193.308
0.0253992 0.00222215 0
0 0 0
0.00195051 0.000205007 -684.208
0.00390101 0.000410013 -908.399
0.00585152 0.00061502 -1027.04
0.00780203 0.000820026 -1104.15
0.00975253 0.00102503 -1161.34
0.011703 0.00123004 -1173.49
0.0136535 0.00143505 -1124.08
0.0156041 0.00164005 -1025.26
0.0175546 0.00184506 -887.098
0.0195051 0.00205007 -701.895
0.0214556 0.00225507 -464.026
0.0234061 0.00246008 -190.306
0.0253566 0.00266508 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00195051 0.000205007 -684.208
0.00390101 0.000410013 -908.399
0.00585152 0.00061502 -1027.04
0.00780203 0.000820026 -1104.15
0.00975253 0.00102503 -1161.34
0.011703 0.00123004 -1173.49
0.0136535 0.00143505 -1124.08
0.0156041 0.00164005 -1025.26
0.0175546 0.00184506 -887.098
0.0195051 0.00205007 -701.895
0.0214556 0.00225507 -464.026
0.0234061 0.00246008 -190.306
0.0253566 0.00266508 0
0 0 0
0.00194663 0.000239016 -699.951
0.00389326 0.000478033 -924.875
0.0058399 0.000717049 -1044.44
0.00778653 0.000956065 -1120.95
0.00973316 0.00119508 -1175.32
0.0116798 0.0014341 -1182.56
0.0136264 0.00167311 -1127.02
0.0155731 0.00191213 -1022.38
0.0175197 0.00215115 -880.245
0.0194663 0.00239016 -693.799
0.0214129 0.00262918 -457.444
0.0233596 0.0028682 -187.303
0.0253062 0.00310721 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00194663 0.000239016 -699.951
0.00389326 0.000478033 -924.875
0.0058399 0.000717049 -1044.44
0.00778653 0.000956065 -1120.95
0.00973316 0.00119508 -1175.32
0.0116798 0.0014341 -1182.56
0.0136264 0.00167311 -1127.02
0.0155731 0.00191213 -1022.38
0.0175197 0.00215115 -880.245
0.0194663 0.00239016 -693.799
0.0214129 0.00262918 -457.444
0.0233596 0.0028682 -187.303
0.0253062 0.00310721 0
0 0 0
0.00194216 0.000272953 -715.695
0.00388433 0.000545907 -941.352
0.00582649 0.00081886 -1061.84
0.00776866 0.00109181 -1137.75
0.00971082 0.00136477 -1189.31
0.011653 0.00163772 -1191.63
0.0135951 0.00191067 -1129.97
0.0155373 0.00218363 -1019.5
0.0174795 0.00245658 -873.392
0.0194216 0.00272953 -685.704
0.0213638 0.00300249 -450.862
0.023306 0.00327544 -184.301
0.0252481 0.00354839 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00194216 0.000272953 -715.695
0.00388433 0.000545907 -941.352
0.00582649 0.00081886 -1061.84
0.00776866 0.00109181 -1137.75
0.00971082 0.00136477 -1189.31
0.011653 0.00163772 -1191.63
0.0135951 0.00191067 -1129.97
0.0155373 0.00218363 -1019.5
0.0174795 0.00245658 -873.392
0.0194216 0.00272953 -685.704
0.0213638 0.00300249 -450.862
0.023306 0.00327544 -184.301
0.0252481 0.00354839 0
0 0 0
0.0019371 0.000306807 -731.438
0.00387421 0.000613614 -957.828
0.00581131 0.000920422 -1079.24
0.00774842 0.00122723 -1154.55
0.00968552 0.00153404 -1203.29
0.0116226 0.00184084 -1200.7
0.0135597 0.00214765 -1132.91
0.0154968 0.00245446 -1016.62
0.0174339 0.00276126 -866.538
0.019371 0.00306807 -677.608
0.0213081 0.00337488 -444.279
0.0232453 0.00368169 -181.299
0.0251824 0.00398849 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.0019371 0.000306807 -731.438
0.00387421 0.000613614 -957.828
0.00581131 0.000920422 -1079.24
0.00774842 0.00122723 -1154.55
0.00968552 0.00153404 -1203.29
0.0116226 0.00184084 -1200.7
0.0135597 0.00214765 -1132.91
0.0154968 0.00245446 -1016.62
0.0174339 0.00276126 -866.538
0.019371 0.00306807 -677.608
0.0213081 0.00337488 -444.279
0.0232453 0.00368169 -181.299
0.0251824 0.00398849 0
0 0 0
0.00193145 0.000340568 -747.182
0.00386291 0.000681135 -974.305
0.00579436 0.0010217 -1096.64
0.00772582 0.00136227 -1171.35
0.00965727 0.00170284 -1217.27
0.0115887 0.00204341 -1209.77
0.0135202 0.00238397 -1135.85
0.0154516 0.00272454 -1013.74
0.0173831 0.00306511 -859.685
0.0193145 0.00340568 -669.513
0.021246 0.00374624 -437.697
0.0231775 0.00408681 -178.297
0.0251089 0.00442738 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00193145 0.000340568 -747.182
0.00386291 0.000681135 -974.305
0.00579436 0.0010217 -1096.64
0.00772582 0.00136227 -1171.35
0.00965727 0.00170284 -1217.27
0.0115887 0.00204341 -1209.77
0.0135202 0.00238397 -1135.85
0.0154516 0.00272454 -1013.74
0.0173831 0.00306511 -859.685
0.0193145 0.00340568 -669.513
0.021246 0.00374624 -437.697
0.0231775 0.00408681 -178.297
0.0251089 0.00442738 0
0 0 0
0.00192522 0.000374224 -762.925
0.00385043 0.000748449 -990.781
0.00577565 0.00112267 -1114.04
0.00770087 0.0014969 -1188.14
0.00962608 0.00187112 -1231.26
0.0115513 0.00224535 -1218.84
0.0134765 0.00261957 -1138.8
0.0154017 0.00299379 -1010.86
0.017327 0.00336802 -852.832
0.0192522 0.00374224 -661.417
0.0211774 0.00411647 -431.114
0.0231026 0.00449069 -175.295
0.0250278 0.00486492 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00192522 0.000374224 -762.925
0.00385043 0.000748449 -990.781
0.00577565 0.00112267 -1114.04
0.00770087 0.0014969 -1188.14
0.00962608 0.00187112 -1231.26
0.0115513 0.00224535 -1218.84
0.0134765 0.00261957 -1138.8
0.0154017 0.00299379 -1010.86
0.017327 0.00336802 -852.832
0.0192522 0.00374224 -661.417
0.0211774 0.00411647 -431.114
0.0231026 0.00449069 -175.295
0.0250278 0.00486492 0
0 0 0
0.00191839 0.000407767 -778.668
0.00383679 0.000815534 -1007.26
0.00575518 0.0012233 -1131.44
0.00767357 0.00163107 -1204.94
0.00959196 0.00203883 -1245.24
0.0115104 0.0024466 -1227.91
0.0134287 0.00285437 -1141.74
0.0153471 0.00326214 -1007.98
0.0172655 0.0036699 -845.979
0.0191839 0.00407767 -653.321
0.0211023 0.00448544 -424.532
0.0230207 0.0048932 -172.293
0.0249391 0.00530097 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00191839 0.000407767 -778.668
0.00383679 0.000815534 -1007.26
0.00575518 0.0012233 -1131.44
