TITLE="EPhi"
VARIABLES="x", "y", "EPhi"
ZONE T="Ephi", I=38, J=2, DATAPACKING=POINT
0 0 0
0.000997944 0 -2526.53
0.00199589 0 -12869.2
0.00299383 0 -20567.6
0.00399178 0 -24161.4
0.00498972 0 -22090.4
0.00598767 0 -13598
0.00698561 0 -509.288
0.00798355 0 12909.7
0.0089815 0 22770.1
0.00997944 0 27940.1
0.0109774 0 28943.8
0.0119753 0 25732.9
0.0129733 0 18165.6
0.0139712 0 8431.74
0.0149692 0 825.695
0.0159671 0 -2130.22
0.0169651 0 -2115.33
0.017963 0 -2097.8
0.0189609 0 -2379.11
0.0199589 0 -1691.64
0.0209568 0 -392.98
0.0219548 0 102.879
0.0229527 0 0
0.0239507 0 0
0.0249486 0 0
0.0259466 0 0
0.0269445 0 0
0.0279424 0 0
0.0289404 0 0
0.0299383 0 0
0.0309363 0 0
0.0319342 0 0
0.0329322 0 0
0.0339301 0 0
0.034928 0 0
0.035926 0 0
0.0369239 0 0
0 0 0
0.000997792 1.74165e-05 -2731.04
0.00199558 3.48331e-05 -13047.4
0.00299338 5.22496e-05 -20715
0.00399117 6.96661e-05 -24268.8
0.00498896 8.70826e-05 -22170.1
0.00598675 0.000104499 -13689.8
0.00698455 0.000121916 -657.402
0.00798234 0.000139332 12687.3
0.00898013 0.000156749 22491
0.00997792 0.000174165 27642.9
0.0109757 0.000191582 28664.5
0.0119735 0.000208998 25490.2
0.0129713 0.000226415 17964.8
0.0139691 0.000243831 8278.6
0.0149669 0.000261248 727.8
0.0159647 0.000278664 -2173.58
0.0169625 0.000296081 -2115.42
0.0179603 0.000313498 -2069.18
0.0189581 0.000330914 -2337.14
0.0199558 0.000348331 -1652.39
0.0209536 0.000365747 -367.562
0.0219514 0.000383164 111.867
0.0229492 0.00040058 0
0.023947 0.000417997 0
0.0249448 0.000435413 0
0.0259426 0.00045283 0
0.0269404 0.000470246 0
0.0279382 0.000487663 0
0.028936 0.000505079 0
0.0299338 0.000522496 0
0.0309316 0.000539912 0
0.0319294 0.000557329 0
0.0329271 0.000574745 0
0.0339249 0.000592162 0
0.0349227 0.000609579 0
0.0359205 0.000626995 0
0.0369183 0.000644412 0
ZONE T="Ephi", I=38, J=2, DATAPACKING=POINT
0 0 0
0.000997792 1.74165e-05 -2731.04
0.00199558 3.48331e-05 -13047.4
0.00299338 5.22496e-05 -20715
0.00399117 6.96661e-05 -24268.8
0.00498896 8.70826e-05 -22170.1
0.00598675 0.000104499 -13689.8
